PM10,PM2.5,SO2,O3
30.16,6.01,3.23,5.24
23.49,4.49,2.74,5.03
22.77,4.19,3.05,4.96
23.91,3.25,2.78,3.81
17.52,2.54,2.90,3.11
17.65,2.75,2.95,4.02
17.89,3.34,4.05,4.78
20.60,9.52,4.90,8.84
24.26,13.44,5.54,12.05
23.37,10.77,6.18,13.51
22.11,7.78,5.53,14.53
20.94,8.58,5.15,13.78
23.71,6.39,5.21,13.66
30.16,,5.26,12.90
29.07,,4.27,10.17
30.33,1.66,4.59,9.64
25.20,1.60,4.80,10.09
25.70,1.42,4.60,10.30
48.07,6.59,4.36,10.40
55.01,7.49,4.22,10.91
59.09,10.44,4.10,10.34
48.90,12.47,4.48,10.57
48.81,11.51,4.91,10.81
36.00,9.16,4.14,11.30
37.81,6.79,3.94,10.81
27.88,4.83,4.30,11.25
24.78,3.54,4.49,11.19
21.84,2.91,4.75,11.18
22.51,2.46,3.88,9.56
22.67,2.94,3.89,8.17
16.73,2.76,3.63,5.29
15.49,2.26,4.24,7.01
11.18,2.12,4.04,9.97
8.35,1.85,4.20,10.07
5.89,1.70,4.87,10.47
11.47,2.14,4.68,11.83
11.20,1.98,4.12,13.62
8.79,,3.74,13.59
11.61,,3.77,13.51
13.28,,3.46,13.65
11.38,0.55,3.56,11.92
16.77,2.25,3.77,4.97
21.10,2.59,4.14,0.85
34.25,9.48,4.51,4.10
36.95,8.35,4.35,4.54
32.75,8.59,4.01,6.74
25.92,7.15,3.45,7.76
23.52,7.86,3.34,8.28
18.53,6.26,3.39,10.23
16.91,,3.43,9.71
12.18,,3.38,8.59
8.65,,3.41,8.30
6.07,,3.54,8.94
9.12,1.10,3.41,6.21
7.55,0.95,3.17,5.09
10.68,3.56,3.66,6.10
16.23,3.49,3.57,7.68
12.77,3.01,3.64,8.55
12.55,6.49,3.66,9.22
13.56,6.14,3.71,11.00
19.09,5.03,3.69,12.16
21.22,4.12,3.93,11.67
20.40,3.55,3.67,10.79
23.64,6.79,3.50,10.30
24.93,7.11,3.21,8.96
25.98,9.07,3.29,6.63
26.31,8.55,3.64,4.26
26.89,6.60,3.40,4.33
30.90,9.52,3.68,4.39
31.81,15.10,3.28,3.91
27.66,11.55,3.14,4.10
22.99,8.47,2.90,5.09
21.57,6.26,2.89,5.02
16.66,,2.85,4.93
12.85,,2.72,4.34
13.15,,2.87,4.77
20.63,,2.85,4.20
16.83,,3.02,3.70
21.38,5.48,3.22,4.26
21.03,9.79,3.77,6.25
21.66,7.80,4.13,8.32
22.12,5.88,4.16,10.80
20.81,5.67,4.24,13.00
20.60,5.23,4.30,14.39
29.42,4.59,4.14,14.46
25.06,4.11,4.06,14.56
29.75,3.86,4.16,15.08
28.14,4.55,4.02,14.42
29.19,4.41,4.15,10.83
29.15,3.90,3.84,4.51
40.95,11.07,4.59,
55.55,19.06,4.71,3.05
58.48,27.54,3.68,4.91
51.56,21.22,3.72,5.79
41.78,21.31,3.36,6.87
36.25,16.20,3.27,7.62
33.69,11.61,3.19,7.47
30.07,8.87,2.87,7.60
27.76,7.07,2.96,7.24
26.33,5.51,3.03,7.32
28.41,4.63,2.87,6.07
27.22,3.85,3.07,6.01
22.89,3.77,3.45,4.68
35.02,6.06,3.99,5.83
32.65,11.52,4.09,8.46
30.88,9.43,4.46,10.46
28.48,7.56,4.49,12.18
28.24,6.15,4.46,12.45
30.80,5.50,4.46,12.69
27.97,4.94,4.30,13.12
27.59,4.09,4.27,12.13
31.21,3.62,4.21,11.48
30.97,3.33,4.62,9.48
36.85,6.34,7.09,3.11
65.81,26.69,5.27,4.77
58.94,20.67,4.84,
70.91,16.52,4.51,3.36
48.99,19.41,4.03,2.73
37.36,19.74,3.81,4.72
27.80,14.40,3.60,5.05
24.75,11.22,3.54,4.93
20.73,8.49,3.39,5.44
22.61,6.50,3.30,5.06
26.33,5.39,3.32,4.24
19.39,4.56,3.30,3.82
21.04,4.02,3.46,2.95
25.05,3.62,3.80,4.65
33.23,4.83,4.30,6.79
26.95,4.31,4.69,8.37
30.23,4.03,4.54,11.19
29.87,5.84,4.85,12.45
23.99,6.34,5.04,13.51
26.33,5.33,5.24,14.01
20.86,4.75,5.00,14.20
26.34,5.32,5.06,14.06
30.01,4.44,6.86,12.58
28.71,5.15,7.75,9.87
32.53,12.28,7.87,9.37
36.24,8.29,5.76,7.75
44.20,18.69,4.75,4.37
51.81,22.03,4.73,4.20
57.98,26.74,4.28,5.14
58.44,28.86,3.97,5.24
46.51,25.05,3.68,4.93
47.65,18.24,3.64,5.64
37.65,12.85,3.50,4.92
37.97,9.58,3.54,5.27
35.09,6.90,3.46,5.33
